state_code,district_code,number_of_cases,average
08,35,76328,3087.5968582957703
08,36,31727,3132.99183660605
08,37,6537,3130.446611595532
08,38,100430,3153.6483968933694
08,39,44240,3141.6533227848126
09,01,91058,1866.0110314305234
09,02,232903,2274.4192990215656
09,03,90428,1672.3918476578078
09,04,605368,2118.7944547777897
09,05,86020,1966.73097535457
09,06,141173,1634.9059203955476
09,07,193335,1906.141883259635
09,08,126704,1898.560960979909
09,09,181202,2211.369339190501
09,10,108596,1785.4994382850216
09,11,130018,1892.649817717552
09,12,88823,1891.067054704301
09,13,117539,2114.6509413897156
09,14,293266,1691.7768101313989
09,18,104546,1890.9127321944238
09,19,145662,1906.2226181158835
09,20,235134,1877.9924851361152
09,21,50899,1943.9552938171714
09,22,79578,1849.3336914725367
09,23,49968,1757.508075168104
09,24,45351,1790.7122885934145
09,25,53732,1796.3081031787422
09,26,63358,1900.4936235360997
09,27,63322,1767.8126638451145
09,28,121143,2336.7380121014057
09,29,65881,2021.8527117074668
09,30,111547,2197.4132607779698
09,31,136072,2095.2853415838113
09,32,40725,1528.7629097605954
09,33,81689,2050.985371347423
09,34,37534,2130.5643150210626
09,35,145510,2072.5988042059203
09,36,77955,1763.1448207299022
09,38,100148,2065.1286845469
09,39,55126,1896.9148405471194
09,40,228903,1515.033453034689
10,01,42190,2259.1747689025406
10,02,50447,2216.9010446607454
10,03,232591,2085.166076933227
10,04,111496,1362.5885816531359
10,05,87907,2001.9853822789985
10,06,48422,1971.298903391008
10,07,93615,2217.5674090690395
10,08,156540,2087.416005493832
10,09,101863,2168.7339563923997
10,10,126448,2320.1360322029777
10,11,175694,1882.9049711430039
10,12,150959,2296.0952874621335
10,13,398910,2230.5507395152013
10,14,112164,1832.169898541434
10,15,173526,2096.3652824360506
10,16,30659,1925.021103101864
10,17,117269,2183.7453376425433
10,18,188198,2426.299381502442
10,19,50456,2353.3505529569934
10,20,129099,2312.653939999555
10,21,48294,1750.603242638835
10,22,83952,2141.866006765801
10,23,32852,2027.7057104590363
10,24,107194,2292.8347202268833
10,25,58332,1781.3561167112402
10,26,78310,1954.6148640020572
10,27,106477,2141.6487081717037
10,28,81528,2485.5030418997617
10,29,65070,2115.810819117837
10,30,48175,2161.917436429681
10,31,131437,2190.6391084701645
10,32,87356,2530.463562892057
10,33,132625,2081.390386427894
11,01,136338,2552.874338042245
11,02,39959,2632.0885657799136
11,03,24319,2243.3173444631784
11,04,89196,2530.6555170635447
11,05,144784,2625.2708552049594
11,06,51270,2399.580368636653
11,07,46787,2524.473016008704
11,08,125623,2700.6646832188726
11,09,27886,1906.618769274906
11,10,36885,2477.029578419409
11,11,54726,2680.6161513723114
11,12,27536,2863.0815114758816
11,13,61409,2601.1588773632343
11,14,51390,2561.9724460011325
11,15,76150,2575.264300722235
11,16,89753,2550.420838300641
11,17,43284,2659.898091673613
11,18,77651,2725.5144428275266
11,19,54075,2669.630124826635
11,20,23328,2350.1413751714526
11,21,50313,2047.2353169161033
11,22,30464,2642.94647780988
11,23,30729,2239.4904650330186
11,24,19609,2286.4707532255584
11,26,50329,2731.7957936776183
11,27,54959,2574.004394184822
11,29,48590,2657.044875488782
11,30,14440,2240.9713296398904
11,31,9664,2657.636589403979
11,32,21675,2225.9957554786547
12,01,15056,2682.7272848033986
12,02,21046,2256.410980708919
12,03,22435,2650.577423668379
12,04,50923,2247.4240421813233
12,05,58987,2559.5720497736734
12,06,15857,2300.3105568518663
12,07,7805,2574.804484304929
12,08,14897,2625.886487212177
12,09,6878,2603.871183483569
12,10,11662,2220.222217458411
12,11,14728,2672.035951928298
12,12,10626,2495.432712215316
12,13,11734,2932.32597579683
12,14,5375,2726.8160000000016
12,15,10328,2608.4808288148843
12,17,429,2647.1526806526817
12,18,5853,2800.3610114471185
12,19,61759,2893.6794151459985
12,20,6968,2449.003803099877
12,21,7163,2828.86758341476
12,22,7151,2539.999720318829
13,01,390356,2425.5614913053964
13,02,263526,2283.767956482505
13,03,388718,2115.011747590812
13,04,166313,2553.7602953467263
13,05,71947,1936.374949615686
13,06,468153,2385.0664312736035
13,07,216625,2358.4687616849724
13,08,406723,2334.427258846939
13,09,170747,2020.9745149255896
13,10,199054,2546.338641775596
13,11,51595,2539.251904254281
13,12,260162,2485.153254510684
13,13,126678,2393.188714693934
13,14,116454,2514.057048276586
13,15,128647,2317.0013836311828
13,16,240013,1997.490006791296
13,17,66675,2614.912020997364
13,18,254739,2043.40599201541
13,19,294341,2646.5549294866137
13,20,406848,2121.5349872679417
13,21,110546,2529.4211278562907
13,22,96738,2213.711736856289
13,23,80177,2547.2069421405386
13,24,416283,2453.1949190815744
13,25,215165,2080.692494132435
13,26,217486,2458.7593408311072
13,27,290088,2169.634609153089
13,28,112859,2665.044413826067
13,29,238626,2377.022229346345
13,30,336923,2444.274628030784
13,31,215139,2029.5662106823686
13,33,102442,2504.746329630393
13,34,151969,2397.533500253369
13,35,143779,2370.463290883931
13,36,209737,2199.703237864497
13,37,86419,2452.604519839386
13,38,74403,2014.411172936568
13,39,115475,2164.337479974049
13,40,84583,2393.9396096142596
13,41,111396,2677.9434135875235
13,42,99614,2165.299154737301
13,43,327382,2103.216080908508
13,44,261863,2439.0045806394583
13,45,100466,2208.136862222072
13,46,113363,2294.73446803631
13,47,168242,2372.3942178528414
13,48,238041,2189.976039841928
13,49,215457,2284.241690917448
13,50,139130,2542.440289657164
13,51,191312,2131.446866898041
13,52,94961,2396.031612978035
13,53,366205,2049.128809000484
13,54,302071,1894.4359024865118
13,55,109442,2236.5330951553924
13,56,215346,2086.992988028609
13,57,213474,2466.5319172357918
13,58,181155,2209.6108167040197
13,59,82987,2176.2892260233452
13,60,122050,2267.644178615308
13,61,201236,2473.268045975819
13,62,202108,2217.4070818572613
13,63,128193,2683.854754159773
13,64,73351,2421.064763943247
13,65,101842,2262.6696107696853
13,66,235578,1870.4684796542883
13,67,82139,2568.0361338706552
13,68,149283,2242.1967973580345
13,69,77426,2528.468686229425
13,70,65733,2142.9317390048045
13,71,68497,2255.246726134026
13,73,85444,2393.769346004416
13,74,58105,2342.1826607004336
13,75,9977,2599.110955196952
13,76,35351,2003.457992701767
14,01,266406,1998.0649122016764
14,02,172010,2058.2610080809345
14,03,200875,2086.0171897946475
14,04,196482,2102.510148512357
14,05,247141,2063.740391112773
14,06,340546,2112.4932373306538
14,07,245278,2148.2526398617597
14,08,113390,2296.247909868643
14,09,126183,2023.5801058779125
14,10,168756,2041.3346369906922
14,11,105554,2175.922177274192
14,12,189521,2082.1829770842755
14,13,176877,2281.979519666162
14,14,133714,2062.492095068627
14,15,125256,1991.8149589640411
14,16,113975,2211.2527922790255
14,17,133815,2084.053069536304
14,18,148040,2006.2692008916524
14,19,72577,2303.103056064583
14,20,150617,2160.1351540662763
14,23,88623,2168.5577051103764
15,01,75857,2048.5666978657487
15,02,22588,2018.1313750664053
15,03,15368,1993.472312597634
15,04,132464,2314.866797771494
15,05,271412,2344.320960384898
15,06,11246,2199.569357993942
15,07,12183,2098.857301157352
15,08,6774,2101.3878801298997
15,09,188106,2372.8720163098997
15,13,14265,2157.9618997546418
15,14,8780,2067.219646924837
15,15,13435,2638.4668775586124
16,01,83982,2543.2447071991437
16,02,165637,2475.939488157836
16,03,160168,2315.6757748114246
16,04,107370,2382.5110412592107
16,06,78357,2149.8016833211786
16,07,125808,2171.74227791554
16,08,73533,2522.863965838458
16,09,101811,2460.9832532830305
16,10,50950,1945.2153876349341
16,11,222453,1681.55500937277
16,12,236115,2552.563937064567
16,13,63790,2029.1329048439925
16,14,276682,2471.101069097372
16,17,42094,2554.732028317585
16,18,91340,2437.487048390621
16,19,57918,2486.0573396871214
16,20,399160,2617.1258004308866
16,21,73121,2248.9162005443072
16,22,146269,2340.4796129049273
16,23,3596,2158.87374860956
16,24,50098,1822.1191165315915
16,25,5335,2274.0310215557647
17,11,200820,2036.2673986654697
17,13,549174,2216.3156859210835
17,14,399898,2354.788721123824
17,15,266813,2033.9857596893705
17,16,324758,2080.0720644294825
17,17,95737,1972.7138044852074
17,18,173098,2125.923092698897
17,19,203224,2160.0157018856057
17,20,251454,2155.4982740382243
17,21,241964,2058.019901720908
17,22,91168,1725.660829457718
17,23,166401,2129.595849784604
17,24,154176,1984.8239641708062
17,25,221053,2129.0782436791405
17,26,183721,2053.961743622141
17,27,139526,2272.4042615713283
17,28,112864,1885.623719698032
17,29,139586,2065.7896923760113
17,30,125231,2047.0808066693294
17,31,414315,2122.9136912736444
17,32,118694,2422.8370894906434
17,33,44669,2250.1150910027027
17,34,40854,2646.805502521176
17,35,121395,2297.911800321288
17,36,69903,1861.653970501978
17,37,95031,1863.1250381454447
17,38,80416,1687.1363783326706
17,39,75517,2028.0411562959307
17,40,53281,2076.6863985285663
17,41,63843,1976.1894256222258
17,42,38813,2221.8846005204464
17,43,30326,1404.0952153267904
18,01,45659,1705.4413368667706
18,02,137443,1491.3720487765893
18,03,233163,1635.370584097821
18,04,40242,2165.8932210128683
18,05,30688,1536.1381973409812
18,06,68951,2014.222774143992
18,07,127655,2000.1824683718019
18,09,35140,2006.3511809903262
18,10,67290,1615.9237033734598
18,11,22552,2315.922046825131
18,12,35136,2049.4634989754045
18,13,17464,1580.5613547869928
18,15,22521,2237.156520580807
18,16,13364,2145.403023046979
18,17,7636,1917.4383184913509
18,18,32988,1990.63423062933
18,19,18948,1537.4391228625718
18,20,16023,1816.0131685701836
18,21,19435,2578.526575765379
18,22,7372,1959.1418882257142
18,23,41642,1854.323315402721
18,24,16002,2023.5244031995985
18,25,10649,2219.6223589069427
19,01,9689,2421.4332748477723
19,02,649,2459.930662557781
20,01,42883,2292.594722850553
20,02,9768,2350.110257985269
20,03,8207,2377.4418788838834
20,05,12384,2163.673449612397
20,06,11253,2207.7349595663427
20,09,9730,2473.604008222002
20,10,4641,2350.414027149324
20,11,3343,2021.4086150164512
21,01,28976,1647.705342352286
21,02,2814,2563.348969438529
21,03,691,3194.5636758321266
21,04,1383,742.9273318872018
21,05,354,2200.00988700565
22,01,468883,2132.234428418108
22,02,423360,2035.848287509418
22,03,89406,2286.2123347426545
22,04,94552,2061.861605254265
22,05,275753,2097.276116669623
22,06,116535,2229.366434976627
22,08,277652,2205.448530894813
22,09,60210,2212.8303022753753
22,10,107453,2212.108852242373
22,11,121735,2166.3176325624972
22,12,83961,2094.7018318028618
22,13,75483,2177.245260522258
22,14,66465,2188.172368915972
22,15,64529,2175.3501603930054
22,16,53350,1989.8364761012374
22,17,201914,1735.2720341333527
22,18,124273,2263.265669131641
22,19,164056,2147.788736772788
22,21,44137,2172.084101774006
22,23,71192,2203.7146800202454
22,24,108826,2246.3156552661835
22,26,103439,2058.401821363312
23,01,320718,1939.1837486514744
23,02,85805,1731.648219800693
23,03,77728,1920.4438233326593
23,04,39324,1783.2506866036047
23,05,33010,1920.6846258709315
23,06,26696,1878.5507753970585
23,07,55688,1783.4371139204147
23,08,22890,1689.1529925731747
23,09,42435,2039.6873100035205
23,10,87693,1773.8830180287941
23,11,76887,1954.7983794399588
23,12,35079,2127.581615781524
23,13,51501,1989.400031067358
23,14,98783,2027.0555409331641
23,15,118046,2133.216695186681
23,16,93880,1864.3840008521454
23,17,50155,2067.7643405443337
23,18,55212,1807.7716891255482
23,19,77909,2222.6459330757857
23,20,154717,1709.5046568896787
23,21,71943,2195.6149382150047
23,22,36403,2168.8790209598146
23,23,100077,2074.257057066062
23,24,69294,2177.622997662153
23,25,72269,2098.9124105771507
23,26,80545,1664.0007883791743
23,27,96845,1930.7938509990165
23,28,82441,2059.5197535206944
23,29,91134,2215.6037318673707
23,30,73061,2231.1782551566494
23,31,69864,2244.8372266117194
23,32,129225,2261.3602166763526
23,33,87545,1671.6402478725172
23,34,120755,1725.3804231708925
23,35,91970,2215.359345438703
23,36,107002,1969.0896104745711
23,37,100289,1766.5130074085903
23,38,133369,1812.7028244944472
23,39,78511,2209.301206200399
23,40,129217,1963.084303922877
23,41,57478,1970.6256393750634
23,42,100284,2099.4738293247174
23,43,196736,1921.4330015858823
23,44,257201,1958.8336359500956
23,45,193736,2194.71019841433
23,46,159841,2174.285921634609
23,47,583544,2141.6558502873013
23,48,33326,2358.1977735101796
23,49,34215,1862.0182522285581
23,50,410960,1613.4012799299028
24,01,7800,2357.356858974354
24,02,960,2239.0989583333326
24,04,15439,1888.2314592914051
25,01,19616,1596.6764121125643
25,02,41333,1674.2351027024376
25,03,7807,1830.3345715383625
25,04,9196,1703.2263484123503
25,05,1366,1411.2470717423125
25,06,1506,1164.7025232403703
25,09,1130,1607.7491150442477
26,01,92107,2281.191717241961
26,02,118275,2345.969782287053
26,03,120304,2333.8564054395147
26,04,153727,2245.2868038795464
26,05,184490,2286.7434169874
26,06,260521,2230.937003159087
26,07,178099,2275.109346487071
26,08,301570,2262.265523758971
26,09,195081,2379.172405308564
26,10,154841,2240.6612912600604
26,11,183371,2209.5972291147737
27,01,224781,2052.5425458557916
29,01,103211,2236.5737082287305
29,02,393079,2492.8988078732573
29,03,125754,2457.992465448382
29,04,142867,2172.577047183742
29,05,126166,2264.0471917949576
29,06,77037,2271.308397263656
29,07,105720,2693.7309260310208
29,08,78159,2198.0626607300196
29,09,269989,2589.2803577182744
29,10,142704,2436.3203729398356
30,01,155108,2036.70953142327
30,02,127206,1960.7577394148082
31,01,3114,1280.3431278098947
31,02,8040,2107.092786069663
32,01,9029,1873.3316535607455
12,16,655,2493.4687022900785
15,16,293,2336.5443686006843
24,03,4039,2421.5872740777318
33,01,349,2073.2163323782265
33,02,578,1956.0891003460224
21,07,7,3126.9285714285716
25,08,742,1507.7540431266866
