dist_code,state_code,state_name,female_judge,district_name
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,1 female,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,1 female,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,1 female,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,1 female,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
1,1,Maharashtra,0 nonfemale,Nandurbar
