group,value1,value2
sub judge ii,0,12,12
5-jmfc,7,4,12
special court for nia cases,0,12,12
special judge,0,11,11
sub judge-iv,1,10,11
2-civil judge junior division,5,6,11
munsif ii,1,10,11
munsif i,0,11,11
state transport appellate tribunal,0,11,11
2-additional judicial magistrate court,4,5,10
cantonment court,2,8,10
2-district and sessions court,0,10,10
3-additional civil judge and judicial magistrate,1,5,10
special courts, jayankondam,4,6,10
principal chief judicial magistrate,3,5,10
1-additional district judge,0,10,10
pdj courts, kothagudem,2,8,10
2-additional district judge,1,9,10
2-principal civil judge,3,5,10
j.m 2nd class,muzaffarpur east,5,5,10
additional motor accidents claims tribunal,1,8,9
sub-judge-iii,0,9,9
additional munsiff,5,4,9
a.d.j. - ii -cum - special judge excise,1,8,9
tiruvuru court ,krishna,4,5,9
acj court,2,7,9
j.m. 1st class court no. 1,2,7,9
sub-judge-iv,3,6,9
j.m. 1st class,1,8,9
spcl dholpur district hq,1,8,9
1st a.d.j,0,9,9
school tribunal,8,1,9
sub judge vi,0,9,9
principal juvenile court,2,7,9
1-additional civil judge junior division,2,6,8
munsif-ii,0,8,8
sub-judge 8th,0,8,8
munsif-i,0,8,8
a.d.j 6,1,7,8
2-additional civil judge junior division,2,6,8
a.d.j. 1st,0,8,8
sub-judge 2nd,0,8,8
special court for the exclusive trial of pc act cases, chennai,5,3,8
fcj courts, kadapa,2,6,8
porahat division,0,7,8
sub-judge -i,0,8,8
sub judge iv,0,7,7
civil cases,0,7,7
j.m. ist class-cum-addl. munsif,0,7,7
a.d.j - i,0,7,7
11-additional chief judicial magistrate,0,7,7
j.m 2nd class,2,5,7
a.d.j. 2nd,0,7,7
special court under tnpid act,3,4,7
x additional special court for prevention of corruption act, singaravelar maligai, george town , chennai,2,5,7
additional special court for the exclusive trail of ec act cases,1,6,7
principal judge , family judge,0,7,7
munsif 4,1,6,7
special judge excise,1,6,7
