group,value1,value2
a.d.j 4,0,7,7
p.o. spl. court of p.o.c.s.o. act 2012,0,7,7
11-additional district and sessions court,3,4,7
p.o. spl. court of drug and cosmatic act,0,7,7
spl. court - the bihar prohibition and excise act, 2016,0,7,7
7-additional district and sessions court,0,7,7
district and additional sessions court,0,7,7
bidhanagar court complex,0,5,7
spl. court alang, bhavnagar,3,3,6
12-additional district judge,0,6,6
sub-judge 12th,0,6,6
1-cbi court,0,6,6
v-j.m.ist class,0,6,6
sub-judge 3rd,1,5,6
a.d.j. iii,0,6,6
j.m.ist class-cum-addl.munsif iii,0,6,6
special judge s.c. and s.t,0,6,6
sub-judge-ii,0,6,6
establishment of civil judge sr. division, gangtok, east sikkim,2,4,6
cj kishanganj taluka,1,5,6
sub-judge 4th,2,4,6
acd court,2,4,6
sub-judge 6th,0,6,6
additional civil judge senior division,1,4,6
special court for the exclusive trail of ec act cases,3,3,6
womens court,1,3,6
a.d.j 11,0,6,6
munsif 1st,1,5,6
special judge,electricity,0,6,6
special court for trial of cases under prevention of corruption act, viluppuram,3,3,6
9-jmfc,2,3,5
ftc-2,0,5,5
4-additional district judge,2,2,5
acd jodhpur metro hq,0,5,5
14-additional district and sessions court,1,4,5
sub judge iii,0,5,5
7th a.d.j,0,5,5
principal district munsiff first class,4,1,5
11-cbi court,0,5,5
special court of economic offences, muzaffarpur,2,3,5
cj atru taluka,3,2,5
sub judge - iii,0,5,5
8-jmfc,3,2,5
1-mm court,1,4,5
principal magistrate,1,4,5
2nd a.d.j,0,5,5
exclusive special court of excise act,muzaffarpur,0,5,5
acb court, kurnool,1,4,5
additional sub court,1,4,5
ix addl.distriict and sessionscourt, wanaparthy,1,3,5
5-metropolitan magistrate traffic court,1,3,5
principle judge,0,5,5
a.d.j i,0,5,5
establishment of civil judge sr. division, mangan north sikkim,2,3,5
a.d.j 3,0,5,5
13-additional district judge,0,5,5
spl. judge, excise act,0,5,5
a.d.j 7,0,5,5
a.d.j 8,0,5,5
